😀 Grinning face                    1F600
😃 Grinning face with big eyes      1F603
😄 Grinning face with smiling eyes  1F604
😁 Beaming face with smiling eyes   1F601
😆 Grinning squinting face          1F606
😅 Grinning face with sweat         1F605
🤣 Rolling on the floor laughing    1F923
😂 Face with tears of joy           1F602
🙂 Slightly smiling face            1F642
🙃 Upside-down face                 1F643
😉 Winking face                     1F609
😊 Smiling face with smiling eyes   1F60A
😇 Smiling face with halo           1F607
🥰 Smiling face with hearts         1F970
😍 Smiling face with heart-eyes     1F60D
🤩 Star-struck                      1F929
😘 Face blowing a kiss              1F618
😗 Kissing face                     1F617
☺️ sMiling face                     263A FE0F
😚 Kissing face with closed eyes    1F61A
😙 Kissing face with smiling eyes   1F619
🥲 Smiling face with tear           1F972
😋 Face savoring food               1F60B
😛 Face with tongue                 1F61B
😜 Winking face with tongue         1F61C
🤪 Zany face                        1F92A
😝 Squinting face with tongue       1F61D
🤑 Money-mouth face                 1F911
🤗 Hugging face                     1F917
🤭 Face with hand over mouth        1F92D
🤫 Shushing face                    1F92B
🤔 Thinking face                    1F914
🤐 Zipper-mouth face                1F910
🤨 Face with raised eyebrow         1F928
😐 Neutral face                     1F610
😑 Expressionless face              1F611
😶 Face without mouth               1F636
😏 Smirking face                    1F60F
😒 Unamused face                    1F612
🙄 Face with rolling eyes           1F644
😬 Grimacing face                   1F62C
🤥 Lying face                       1F925
😌 Relieved face                    1F60C
😔 Pensive face                     1F614
😪 Sleepy face                      1F62A
🤤 Drooling face                    1F924
😴 Sleeping face                    1F634
😷 Face with medical mask           1F637
🤒 Face with thermometer            1F912
🤕 Face with head-bandage           1F915
🤢 Nauseated face                   1F922
🤮 Face vomiting                    1F92E
🤧 Sneezing face                    1F927
🥵 Hot face                         1F975
🥶 Cold face                        1F976
🥴 Woozy face                       1F974
😵 Dizzy face                       1F635
🤯 Exploding head                   1F92F
🤠 Cowboy hat face                  1F920
🥳 Partying face                    1F973
🥸 Disguised face                   1F978
😎 Smiling face with sunglasses     1F60E
🤓 Nerd face                        1F913
🧐 Face with monocle                1F9D0
😕 Confused face                    1F615
😟 Worried face                     1F61F
🙁 Slightly frowning face           1F641
☹️ Frowning face                     2639 FE0F
😮 Face with open mouth             1F62E
😯 Hushed face                      1F62F
😲 Astonished face                  1F632
😳 Flushed face                     1F633 
🥺 Pleading face                    1F97A
😦 Frowning face with open mouth    1F626
😧 Anguished face                   1F627
😨 Fearful face                     1F628
😰 Anxious face with sweat          1F630
😥 Sad but relieved face            1F625
😢 Crying face                      1F622
😭 Loudly crying face               1F62D
😱 Face screaming in fear           1F631
😖 Confounded face                  1F616
😣 Persevering face                 1F623
😞 Disappointed face                1F61E
😓 Downcast face with sweat         1F613
😩 Weary face                       1F629
😫 Tired face                       1F62B
🥱 Yawning face                     1F971
😤 Face with steam from nose        1F624
😡 Pouting face                     1F621
😠 Angry face                       1F620
🤬 Face with symbols on mouth       1F92C
😈 Smiling face with horns          1F608
👿 Angry face with horns            1F47F
💀 Skull                            1F480
☠️ Skull and crossbones              2620 FE0F
💩 Pile of poo                      1F4A9
🤡 Clown face                       1F921
👹 Ogre                             1F479
👺 Goblin                           1F47A
👻 Ghost                            1F47B
👽 Alien                            1F47D
👾 Alien monster                    1F47E
🤖 Robot                            1F916
😺 Grinning cat                     1F63A
😸 Grinning cat with smiling eyes   1F638
😹 Cat with tears of joy            1F639
😻 Smiling cat with heart-eyes      1F63B
😼 Cat with wry smile               1F63C
😽 Kissing cat                      1F63D
🙀 Weary cat                        1F640
😿 Crying cat                       1F63F
😾 Pouting cat                      1F63E
🙈 See-no-evil monkey               1F648
🙉 Hear-no-evil monkey              1F649
🙊 Speak-no-evil monkey             1F64A
💋 Kiss mark                        1F48B
💌 Love letter                      1F48C
💘 Heart with arrow                 1F498
💝 Heart with ribbon                1F49D
💖 Sparkling heart                  1F496
💗 Growing heart                    1F497
💓 Beating heart                    1F493
💞 Revolving hearts                 1F49E
💕 Two hearts                       1F495
💟 Heart decoration                 1F49F
❣️ hEart exclamation                 2763 FE0F
💔 Broken heart                     1F494
❤️ rEd heart                         2764 FE0F
🧡 Orange heart                     1F9E1
💛 Yellow heart                     1F49B
💚 Green heart                      1F49A
💙 Blue heart                       1F499
💜 Purple heart                     1F49C
🤎 Brown heart                      1F90E
🖤 Black heart                      1F5A4
🤍 White heart                      1F90D
💯 Hundred points                   1F4AF
💢 Anger symbol                     1F4A2
💥 Collision                        1F4A5
💫 Dizzy                            1F4AB
💦 Sweat droplets                   1F4A6
💨 Dashing away                     1F4A8
🕳️ Hole                             1F573 FE0F
💣 Bomb                             1F4A3
💬 Speech balloon                   1F4AC
🗨️ Left speech bubble               1F5E8 FE0F
🗯️ Right anger bubble               1F5EF FE0F
💭 Thought balloon                  1F4AD
💤 Zzz                              1F4A4
👋 Waving hand                      1F44B
🤚 Raised back of hand              1F91A
🖐️ Hand with fingers splayed        1F590 FE0F
✋ Raised hand                      270B
🖖 Vulcan salute                    1F596
👌 OK hand                          1F44C
🤌 Pinched fingers                  1F90C
🤏 Pinching hand                    1F90F
✌️ Victory hand                     270C FE0F
🤞 Crossed fingers                  1F91E
🤟 Love-you gesture                 1F91F
🤘 Sign of the horns                1F918
🤙 Call me hand                     1F919
👈 Backhand index pointing left     1F448
👉 Backhand index pointing right    1F449
👆 Backhand index pointing up       1F446
🖕 Middle finger                    1F595
👇 Backhand index pointing down     1F447
☝️ Index pointing up                261D FE0F
👍 Thumbs up                        1F44D
👎 Thumbs down                      1F44E
✊ Raised fist                      270A
👊 Oncoming fist                    1F44A
🤛 Left-facing fist                 1F91B
🤜 Right-facing fist                1F91C
👏 Clapping hands                   1F44F
🙌 Raising hands                    1F64C
👐 Open hands                       1F450
🤲 Palms up together                1F932
🤝 Handshake                        1F91D
🙏 Folded hands                     1F64F
✍️ Writing hand                     270D FE0F
💅 Nail polish                      1F485
🤳 Selfie                           1F933
💪 Flexed biceps                    1F4AA
🖴  Hard drive                       1F5B4
🦾 Mechanical arm                   1F9BE
🦿 Mechanical leg                   1F9BF
🦵 Leg                              1F9B5
🦶 Foot                             1F9B6
👂 Ear                              1F442
🦻 Ear with hearing aid             1F9BB
👃 Nose                             1F443
🧠 Brain                            1F9E0
🫀 Anatomical heart                 1FAC0
🫁 Lungs                            1FAC1
🦷 Tooth                            1F9B7
🦴 Bone                             1F9B4
👀 Eyes                             1F440
👁️ Eye                              1F441 FE0F
👅 Tongue                           1F445
👄 Mouth                            1F444
👶 Baby                             1F476
🧒 Child                            1F9D2
👦 Boy                              1F466
👧 Girl                             1F467   
🧑 Person                           1F9D1
👱 Person: blond hair               1F471
👨 Man                              1F468
🧔 Man: beard                       1F9D4
👩 Woman                            1F469
🧓 Older person                     1F9D3
👴 Old man                          1F474
👵 Old woman                        1F475
🙍 Person frowning                  1F64D
🙎 Person pouting                   1F64E
🙅 Person gesturing NO              1F645
🙆 Person gesturing OK              1F646
💁 Person tipping hand              1F481
🙋 Person raising hand              1F64B
🧏 Deaf person                      1F9CF
🙇 Person bowing                    1F647
🤦 Person facepalming               1F926
🤷 Person shrugging                 1F937
👮 Police officer                   1F46E
🕵️ Detective                        1F575 FE0F
💂 Guard                            1F482
🥷 Ninja                            1F977
👷 Construction worker              1F477
🤴 Prince                           1F934
👸 Princess                         1F478
👳 Person wearing turban            1F473
👲 Person with skullcap             1F472
🧕 Woman with headscarf             1F9D5
🤵 Person in tuxedo                 1F935
👰 Person with veil                 1F470
🤰 Pregnant woman                   1F930
🤱 Breast-feeding                   1F931
👼 Baby angel                       1F47C
🎅 Santa Claus                      1F385
🤶 Mrs. Claus                       1F936
🦸 Superhero                        1F9B8
🦹 Supervillain                     1F9B9
🧙 Mage                             1F9D9
🧚 Fairy                            1F9DA
🧛 Vampire                          1F9DB
🧜 Merperson                        1F9DC
🧝 Elf                              1F9DD
🧞 Genie                            1F9DE
🧟 Zombie                           1F9DF
💆 Person getting massage           1F486
💇 Person getting haircut           1F487
🚶 Person walking                   1F6B6
🧍 Person standing                  1F9CD
🧎 Person kneeling                  1F9CE
🏃 Person running                   1F3C3
💃 Woman dancing                    1F483
🕺 Man dancing                      1F57A
🕴️ Person in suit levitating        1F574 FE0F
👯 People with bunny ears           1F46F
🧖 Person in steamy room            1F9D6
🧗 Person climbing                  1F9D7
🤺 Person fencing                   1F93A
🏇 Horse racing                     1F3C7
⛷️ Skier                            26F7 FE0F
🏂 Snowboarder                      1F3C2
🏌️ Person golfing                   1F3CC FE0F
🏄 Person surfing                   1F3C4
🚣 Person rowing boat               1F6A3
🏊 Person swimming                  1F3CA
⛹️ Person bouncing ball             26F9 FE0F
🏋️ Person lifting weights           1F3CB FE0F
🚴 Person biking                    1F6B4
🚵 Person mountain biking           1F6B5
🤸 Person cartwheeling              1F938
🤼 People wrestling                 1F93C
🤽 Person playing water polo        1F93D
🤾 Person playing handball          1F93E
🤹 Person juggling                  1F939
🧘 Person in lotus position         1F9D8
🛀 Person taking bath               1F6C0
🛌 Person in bed                    1F6CC
👭 Women holding hands              1F46D
👫 Woman and man holding hands      1F46B
👬 Men holding hands                1F46C
💏 Kiss                             1F48F
💑 Couple with heart                1F491
👪 Family                           1F46A
🗣️ Speaking head                    1F5E3 FE0F
👤 Bust in silhouette               1F464
👥 Busts in silhouette              1F465
🫂 People hugging                   1FAC2
👣 Footprints                       1F463
🐵 Monkey face                      1F435
🐒 Monkey                           1F412
🦍 Gorilla                          1F98D
🦧 Orangutan                        1F9A7
🐶 Dog face                         1F436
🐕 Dog                              1F415
🦮 Guide dog                        1F9AE
🐩 Poodle                           1F429
🐺 Wolf                             1F43A
🦊 Fox                              1F98A
🦝 Raccoon                          1F99D
🐱 Cat face                         1F431
🐈 Cat                              1F408
🦁 Lion                             1F981   
🐯 Tiger face                       1F42F
